,dtfk1,ft1,dtsk1,dtfk2,ft2,dtsk2,dtfk3,ft3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft7,dtsk7,dtfk8,ft8,dtsk8,dtfk9,ft9,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,dtsk14,sum,class
196,94,16,93,78,110,62,78,141,63,93,0,94,109,157,78,79,78,93,125,141,94,110,93,94,15,125,47,94,78,78,78,110,78,141,78,94,78,47,78,78,94,94,3658,2
197,110,78,78,93,125,63,93,79,78,62,157,78,47,156,94,62,172,15,140,63,78,79,78,141,0,32,125,141,62,79,79,78,78,78,63,93,94,156,94,62,31,79,3643,2
201,94,109,62,62,141,63,63,93,63,63,94,78,78,187,63,63,140,94,63,62,47,63,109,63,93,47,110,156,63,109,78,94,63,78,188,78,78,78,78,47,78,63,3596,2
202,94,47,63,78,125,62,78,78,63,62,63,62,63,62,78,109,63,172,62,94,78,78,125,63,110,78,109,63,78,78,63,109,78,156,62,125,63,78,62,63,62,47,3406,2
203,63,62,63,78,125,47,47,109,63,63,94,78,63,140,47,63,62,110,63,47,78,62,78,156,110,94,62,156,63,109,78,94,63,78,188,78,47,47,94,47,78,63,3410,2
207,78,47,157,157,62,125,125,46,156,156,0,78,78,78,180,78,109,94,63,16,78,266,47,62,0,16,141,78,94,62,31,109,47,46,93,0,31,94,47,78,31,63,3397,2
208,94,15,94,110,47,94,125,110,78,15,78,47,141,47,187,62,94,219,62,47,31,156,63,70,110,20,165,94,62,63,15,125,46,1390,63,141,16,94,94,93,0,63,4740,2
209,47,47,16,16,94,0,78,15,94,156,0,78,0,15,172,94,15,110,125,94,94,31,1312,1390,984,1094,62,78,94,62,31,109,47,46,93,0,63,31,156,78,31,63,7215,2
219,62,79,109,109,78,94,94,94,78,78,62,109,109,31,125,63,125,78,94,141,31,110,125,109,94,93,94,63,78,94,141,0,62,15,93,32,31,78,63,78,32,93,3421,2
220,78,125,93,0,109,16,94,109,63,47,78,31,110,31,125,94,78,109,78,78,31,156,15,111,120,94,62,94,94,46,63,172,16,0,125,500,78,78,94,63,93,78,3729,2
221,78,31,78,97,46,94,31,78,156,78,62,109,0,0,94,0,187,120,78,47,109,63,109,0,735,78,78,63,78,94,141,0,62,15,93,32,78,94,78,78,32,93,3667,2
