,dtfk1,ft1,dtsk1,dtfk2,ft2,dtsk2,dtfk3,ft3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft7,dtsk7,dtfk8,ft8,dtsk8,dtfk9,ft9,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,dtsk14,sum,class
123,125,172,94,94,203,109,109,110,109,109,250,78,78,110,78,78,156,110,125,140,63,62,125,47,94,172,78,94,78,110,47,156,79,94,265,94,63,422,78,93,94,78,4923,1
124,110,359,94,79,62,78,78,110,78,78,219,93,94,78,78,110,93,610,62,328,63,109,141,109,156,94,141,93,94,63,78,109,79,156,94,140,93,547,94,110,125,93,5672,1
125,94,313,93,94,109,78,63,15,94,109,250,78,93,250,94,78,63,156,94,187,78,109,94,156,78,188,62,94,78,110,47,156,79,94,265,94,93,203,63,93,94,78,4811,1
126,63,94,93,93,125,47,47,47,63,63,93,156,156,31,63,63,469,62,78,125,78,141,47,172,78,63,141,78,56,73,78,31,125,79,15,110,78,78,47,62,31,63,3755,1
127,62,16,47,63,140,47,63,62,63,47,16,47,0,594,656,73,166,16,62,125,78,78,78,62,15,109,16,62,78,63,140,0,63,47,110,62,31,47,63,63,31,78,3739,1
128,78,31,31,47,94,63,78,32,62,63,93,156,0,16,94,62,141,15,94,31,63,78,703,47,844,891,62,78,56,73,78,31,125,79,15,110,78,172,78,62,31,63,5098,1
129,109,16,110,110,47,109,109,78,47,47,391,438,438,31,46,94,62,94,78,31,94,110,140,79,78,32,109,94,31,78,109,125,109,109,16,78,15,78,31,78,0,94,4172,1
130,94,0,109,93,63,110,78,47,94,78,141,78,0,32,46,78,94,78,31,78,15,63,109,47,46,125,110,63,62,78,125,31,62,687,94,78,32,110,31,78,31,94,3593,1
131,78,109,32,203,31,93,94,31,78,47,391,438,0,31,94,78,47,46,110,31,94,0,94,687,765,844,31,94,31,78,109,125,109,109,16,78,94,62,63,78,0,94,5717,1
132,125,31,110,110,46,125,125,79,93,93,485,594,594,47,140,94,47,93,78,141,62,125,109,63,140,16,125,47,78,78,47,62,109,125,16,93,0,125,62,78,32,93,4935,1
133,93,16,94,125,31,125,78,125,94,109,47,78,125,31,141,78,79,109,32,110,0,78,110,109,109,0,109,62,94,62,125,62,125,172,78,94,94,15,63,94,47,93,3515,1
134,156,16,94,188,47,63,62,31,94,93,485,594,234,16,109,94,94,109,125,78,94,109,94,172,985,1078,32,47,78,78,47,62,109,125,16,93,93,125,94,78,32,93,6516,1
135,62,63,93,93,110,47,47,78,31,31,125,63,63,171,79,63,109,172,62,32,78,78,78,78,63,156,78,63,47,93,78,78,47,78,172,78,63,78,63,46,79,78,3344,1
136,172,15,93,94,94,47,78,47,63,79,46,47,47,31,94,93,63,125,78,15,63,78,63,109,109,63,125,62,78,63,78,94,63,125,62,47,63,125,31,62,63,78,3125,1
137,62,0,63,78,78,63,78,47,62,31,125,63,46,47,94,94,47,109,62,16,62,62,79,125,62,141,78,63,47,93,78,78,47,78,172,78,78,62,32,46,79,78,2983,1
138,93,547,156,156,16,172,172,292,79,79,128,225,225,40,110,63,78,78,63,47,78,15,140,94,94,93,203,47,62,109,78,63,93,47,15,62,32,93,16,94,47,94,4488,1
139,78,16,109,109,47,109,109,0,63,78,47,62,609,734,0,109,63,172,79,93,32,109,47,125,62,94,78,78,78,78,79,78,172,110,94,78,78,0,63,15,62,47,4343,1
140,78,78,78,15,63,47,78,297,78,79,128,225,0,47,141,93,32,62,94,31,172,47,109,110,812,78,79,47,62,109,78,63,93,47,15,62,47,78,47,94,47,94,4134,1
141,63,15,63,63,93,63,63,16,93,93,63,140,140,188,109,31,141,62,63,578,94,78,125,62,63,109,78,47,94,141,78,94,188,47,78,62,47,109,47,93,63,62,3999,1
142,62,78,125,79,93,63,94,78,31,79,62,78,125,207,109,141,62,156,94,78,47,94,94,62,94,63,93,47,78,63,78,125,62,93,110,78,47,438,62,94,31,94,3941,1
143,62,31,47,63,109,63,94,62,78,93,63,140,47,687,94,78,62,94,125,453,78,63,766,93,63,125,94,47,94,141,78,94,188,47,78,62,94,47,62,93,63,62,5077,1
144,78,47,94,94,78,78,78,52,40,40,271,380,380,47,125,79,15,62,47,16,62,94,94,62,62,78,172,47,62,63,125,32,0,47,15,78,32,94,31,62,16,78,3507,1
145,62,31,78,31,110,0,78,31,79,78,32,78,0,47,125,63,157,15,62,31,32,78,94,78,94,31,125,63,62,63,312,63,94,62,94,141,62,32,62,78,31,79,3018,1
146,63,0,62,141,125,78,62,16,94,40,271,380,125,140,94,63,0,94,62,0,32,76,922,62,813,891,62,47,62,63,125,32,0,47,15,78,79,31,156,62,16,78,5659,1
147,78,94,94,94,109,78,78,563,78,78,140,79,79,250,93,62,125,63,47,141,62,62,125,63,63,156,47,125,47,63,63,93,63,63,125,62,63,125,62,62,110,78,4205,1
148,63,47,78,94,109,63,63,109,62,63,94,62,94,125,125,63,62,172,78,78,63,78,125,62,125,47,156,62,78,63,78,110,62,110,62,78,78,63,46,63,47,78,3438,1
149,63,78,78,94,125,47,62,78,47,78,140,79,78,172,125,62,63,125,63,125,83,47,78,110,63,187,78,125,47,63,63,93,63,63,125,62,78,78,47,62,110,78,3585,1
150,126,31,125,125,94,78,78,31,109,109,31,172,172,31,156,110,46,125,94,16,93,109,109,63,172,47,187,0,93,453,140,47,63,32,46,79,31,94,78,78,32,78,3983,1
151,125,46,125,47,172,16,109,0,110,125,15,78,110,125,156,453,94,47,31,63,31,94,125,62,15,141,0,93,110,78,829,31,93,109,78,110,62,47,94,157,31,109,4546,1
152,141,0,62,78,109,110,93,32,78,109,31,172,172,93,157,31,78,15,94,78,94,94,141,109,719,875,31,0,93,453,140,47,63,32,46,79,109,0,110,78,32,78,5156,1
153,62,78,110,110,62,78,78,16,63,63,78,62,62,94,94,62,47,94,78,31,94,93,94,31,47,547,93,32,62,110,78,94,63,141,0,78,31,79,46,78,62,63,3438,1
154,94,0,78,0,156,16,47,31,62,78,61,52,78,94,188,110,62,141,63,62,31,47,297,78,31,110,0,78,78,63,62,110,62,141,94,15,31,31,94,78,47,78,3129,1
155,94,47,31,93,110,94,94,62,47,63,78,62,79,78,78,16,94,31,94,47,78,109,62,141,895,62,63,32,62,110,78,94,63,141,0,78,78,47,78,78,62,63,3866,1
159,125,16,94,94,109,78,78,63,93,93,188,78,78,31,94,94,62,156,110,31,78,109,31,125,78,110,250,78,63,62,78,110,78,93,125,110,125,125,125,78,32,125,3953,1
160,156,16,62,140,63,78,109,31,94,78,0,78,0,31,109,62,94,313,156,31,125,78,141,125,78,156,16,78,47,63,62,94,62,125,94,235,125,0,94,62,235,125,3921,1
161,109,31,125,78,110,78,78,47,109,93,188,78,0,0,94,0,62,78,156,16,94,78,78,125,203,62,156,78,63,62,78,110,78,93,125,110,125,31,109,78,32,125,3623,1
162,125,16,109,109,15,125,125,0,47,47,109,203,203,47,62,31,78,47,31,63,31,47,297,31,93,0,125,16,62,94,157,31,62,31,31,47,156,110,62,78,16,62,3231,1
163,47,78,16,32,62,63,31,109,31,344,94,0,1469,140,31,94,78,63,0,62,156,125,32,31,47,32,141,78,78,78,0,47,63,78,156,16,31,125,15,63,31,94,4361,1
164,16,79,31,47,47,62,31,78,62,47,109,203,141,15,125,125,0,47,125,719,109,78,0,78,859,110,0,16,62,94,157,31,62,31,31,47,94,0,62,78,16,62,4186,1
165,141,62,110,110,250,94,94,62,78,78,203,78,78,249,88,78,282,109,78,344,407,78,94,78,94,531,94,234,79,93,94,140,79,78,47,109,78,391,109,78,109,94,5854,1
166,109,63,93,94,93,94,109,94,78,62,157,78,62,204,78,93,63,172,78,172,78,109,125,78,157,78,156,281,63,93,94,172,78,213,94,110,78,516,78,94,125,93,5009,1
167,110,0,78,109,110,78,407,15,78,78,203,78,1109,63,250,32,93,157,94,203,78,78,88,213,63,250,78,234,79,93,94,140,79,78,47,109,93,235,78,78,109,94,5833,1
168,156,47,47,47,62,140,140,32,78,78,79,110,110,15,110,31,47,15,78,16,110,94,62,78,469,578,16,63,78,79,63,47,15,63,31,63,48,5,84,46,109,78,3717,1
169,15,63,31,31,79,46,93,32,31,15,94,31,141,0,94,79,188,31,16,78,48,46,32,93,47,140,16,31,78,63,16,78,62,31,109,31,16,94,0,16,109,16,2360,1
170,63,15,16,235,328,32,110,15,16,78,79,110,438,125,31,93,32,47,625,32,79,93,0,31,0,62,16,63,78,79,63,47,15,63,31,63,16,110,15,46,109,78,3677,1
174,156,16,125,125,109,109,109,32,187,187,109,157,157,156,94,109,203,125,110,94,93,218,16,111,125,110,203,94,109,63,94,203,63,47,157,171,110,93,161,141,15,94,4960,1
175,125,110,109,156,16,94,94,125,109,78,141,47,172,0,172,63,93,500,125,125,110,297,47,109,125,156,157,93,110,62,16,141,62,47,172,78,531,140,516,125,63,93,5704,1
