@relation 'gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,7,8,9,11,14,15,16,17,18,21,22,25,26,27,29,31,34,36,37,38,39,42,43'

@attribute ft1 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute class {1,2}

@data
78,93,187,109,63,15,47,109,16,78,78,47,15,109,16,2
141,78,62,62,63,109,109,63,547,1015,125,62,203,47,47,2
78,62,78,63,79,125,109,63,31,62,110,93,62,63,62,2
109,78,62,47,94,219,94,188,547,1015,125,62,203,47,47,2
172,109,78,78,125,140,125,47,94,110,156,79,265,93,94,1
359,78,93,94,62,328,141,109,93,63,109,79,94,110,125,1
313,109,78,93,94,187,94,156,94,110,156,79,265,93,94,1
94,63,156,156,78,125,47,172,78,73,31,125,15,62,31,1
16,47,47,0,62,125,78,62,62,63,0,63,110,63,31,1
31,63,156,0,94,31,703,47,78,73,31,125,15,62,31,1
16,47,438,438,78,31,140,79,94,78,125,109,16,78,0,1
0,78,78,0,31,78,109,47,63,78,31,62,94,78,31,1
109,47,438,0,110,31,94,687,94,78,125,109,16,78,0,1
31,93,594,594,78,141,109,63,47,78,62,109,16,78,32,1
16,109,78,125,32,110,110,109,62,62,62,125,78,94,47,1
16,93,594,234,125,78,94,172,47,78,62,109,16,78,32,1
63,31,63,63,62,32,78,78,63,93,78,47,172,46,79,1
15,79,47,47,78,15,63,109,62,63,94,63,62,62,63,1
0,31,63,46,62,16,79,125,63,93,78,47,172,46,79,1
547,79,225,225,63,47,140,94,47,109,63,93,15,94,47,1
16,78,62,609,79,93,47,125,78,78,78,172,94,15,62,1
78,79,225,0,94,31,109,110,47,109,63,93,15,94,47,1
15,93,140,140,63,578,125,62,47,141,94,188,78,93,63,1
78,79,78,125,94,78,94,62,47,63,125,62,110,94,31,1
31,93,140,47,125,453,766,93,47,141,94,188,78,93,63,1
47,40,380,380,47,16,94,62,47,63,32,0,15,62,16,1
31,78,78,0,62,31,94,78,63,63,63,94,94,78,31,1
0,40,380,125,62,0,922,62,47,63,32,0,15,62,16,1
94,78,79,79,47,141,125,63,125,63,93,63,125,62,110,1
47,63,62,94,78,78,125,62,62,63,110,62,62,63,47,1
78,78,79,78,63,125,78,110,125,63,93,63,125,62,110,1
31,109,172,172,94,16,109,63,0,453,47,63,46,78,32,1
46,125,78,110,31,63,125,62,93,78,31,93,78,157,31,1
0,109,172,172,94,78,141,109,0,453,47,63,46,78,32,1
78,63,62,62,78,31,94,31,32,110,94,63,0,78,62,1
0,78,52,78,63,62,297,78,78,63,110,62,94,78,47,1
47,63,62,79,94,47,62,141,32,110,94,63,0,78,62,1
125,125,109,109,94,0,78,110,63,109,93,203,47,79,31,2
16,94,110,78,16,62,78,94,78,78,110,62,94,78,31,2
0,125,109,93,94,31,93,94,63,109,93,203,47,79,31,2
16,93,78,78,110,31,31,125,78,62,110,78,125,78,32,1
16,78,78,0,156,31,141,125,78,63,94,62,94,62,235,1
31,93,78,0,156,16,78,125,78,62,110,78,125,78,32,1
16,47,203,203,31,63,297,31,16,94,31,62,31,78,16,1
78,344,0,1469,0,62,32,31,78,78,47,63,156,63,31,1
79,47,203,141,125,719,0,78,16,94,31,62,31,78,16,1
62,78,78,78,78,344,94,78,234,93,140,79,47,78,109,1
63,62,78,62,78,172,125,78,281,93,172,78,94,94,125,1
0,78,78,1109,94,203,88,213,234,93,140,79,47,78,109,1
47,78,110,110,78,16,62,78,63,79,47,15,31,46,109,1
63,15,31,141,16,78,32,93,31,63,78,62,109,16,109,1
15,78,110,438,625,32,0,31,63,79,47,15,31,46,109,1
