ft1,dtsk1,dtfk4,dtsk4,dtsk5,dtfk6,ft6,dtfk7,ft7,dtsk7,dtfk8,dtfk10,ft10,dtsk10,ft11,dtsk11,ft12,dtsk12,dtfk13,ft13,dtfk14,ft14,dtsk14,class
110,16,94,140,78,63,78,109,16,78,62,125,63,109,94,62,94,109,78,94,78,78,62,2
4369,113,90,80,110,65,101,89,36,79,79,47,78,78,111,41,78,109,81,37,33,69,61,2
4,79,78,78,65,78,94,89,24,81,94,58,68,150,94,94,62,141,79,13,78,63,78,2
6,79,90,80,103,109,31,11,73,31,47,47,78,78,111,41,78,109,78,15,33,69,61,2
62,94,109,78,47,78,109,46,16,63,125,265,79,78,46,32,32,109,41,65,78,15,63,1
16,78,94,94,203,78,93,172,116,41,63,31,62,79,47,94,46,219,47,63,78,47,46,1
31,47,109,78,110,78,47,32,31,62,94,265,79,78,46,32,32,109,46,47,78,15,63,1
62,110,78,141,125,110,125,78,16,94,109,47,63,94,125,78,16,94,109,32,79,78,62,1
31,125,78,62,94,94,62,109,63,109,78,63,93,79,110,78,93,32,78,16,94,31,63,1
47,78,78,141,125,47,78,94,15,63,63,47,63,94,125,78,16,94,63,62,79,78,62,1
32,78,63,62,62,63,125,62,110,78,78,78,62,79,140,47,15,78,47,94,78,16,62,1
47,62,62,93,62,79,62,94,203,47,78,47,109,47,94,62,47,78,47,47,63,47,78,1
125,47,63,62,78,46,47,78,31,63,63,78,62,79,140,47,15,78,78,62,78,16,62,1
141,93,78,328,172,157,93,47,78,125,422,62,78,344,234,63,125,78,62,125,78,31,94,1
109,32,46,31,172,344,94,140,235,62,359,62,78,78,93,63,78,62,156,16,62,281,79,1
78,156,78,328,172,47,63,109,141,62,94,62,78,344,234,63,125,78,79,31,78,31,94,1
156,125,109,172,109,63,78,79,78,78,109,110,250,78,63,141,47,125,15,63,78,78,125,2
15,94,156,78,109,78,94,109,94,15,110,78,78,63,47,62,94,62,410,94,109,172,125,2
78,410,109,172,109,47,93,93,172,94,141,110,250,78,63,141,47,125,125,266,78,78,125,2
282,93,78,94,94,63,984,63,218,47,79,78,78,78,140,94,828,78,78,297,63,219,78,1
