@relation 'gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,6,8,9,11,13,14,16,17,19,20,23,25,27,29,33,42,43'

@attribute dtfk1 numeric
@attribute ft2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtsk6 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute class {1,2}

@data
62,93,94,79,78,109,156,47,94,62,63,47,63,78,125,93,110,78,47,438,62,94,31,1
62,109,94,93,140,94,94,78,63,93,125,47,141,78,94,47,78,62,94,47,62,93,63,1
78,78,78,40,380,125,62,62,94,62,78,47,63,125,32,47,15,78,32,94,31,62,16,1
62,110,78,78,78,125,15,32,78,78,31,63,63,312,63,62,94,141,62,32,62,78,31,1
63,125,62,40,380,94,94,32,76,62,891,47,63,125,32,47,15,78,79,31,156,62,16,1
78,109,78,78,79,93,63,62,62,63,156,125,63,63,93,63,125,62,63,125,62,62,110,1
63,109,63,63,62,125,172,63,78,62,47,62,63,78,110,110,62,78,78,63,46,63,47,1
63,125,62,78,79,125,125,83,47,110,187,125,63,63,93,63,125,62,78,78,47,62,110,1
126,94,78,109,172,156,125,93,109,63,47,0,453,140,47,32,46,79,31,94,78,78,32,1
125,172,109,125,78,156,47,31,94,62,141,93,78,829,31,109,78,110,62,47,94,157,31,1
141,109,93,109,172,157,15,94,94,109,875,0,453,140,47,32,46,79,109,0,110,78,32,1
62,62,78,63,62,94,94,94,93,31,547,32,110,78,94,141,0,78,31,79,46,78,62,1
94,156,47,78,52,188,141,31,47,78,110,78,63,62,110,141,94,15,31,31,94,78,47,1
94,110,94,63,62,78,31,78,109,141,62,32,110,78,94,141,0,78,78,47,78,78,62,1
109,79,78,125,109,125,94,94,94,110,47,63,109,78,93,94,47,78,47,78,63,79,31,2
94,15,78,94,110,187,46,47,109,94,93,78,78,109,110,94,94,62,78,78,94,78,31,2
125,78,94,125,109,110,63,78,94,94,984,63,109,78,93,94,47,78,94,31,141,79,31,2
125,109,78,93,78,94,156,78,109,125,110,78,62,78,110,93,125,110,125,125,125,78,32,1
156,63,109,78,78,109,313,125,78,125,156,78,63,62,94,125,94,235,125,0,94,62,235,1
109,110,78,93,78,94,78,94,78,125,62,78,62,78,110,93,125,110,125,31,109,78,32,1
125,15,125,47,203,62,47,31,47,31,0,16,94,157,31,31,31,47,156,110,62,78,16,1
47,62,31,344,0,31,63,156,125,31,32,78,78,0,47,78,156,16,31,125,15,63,31,1
16,47,31,47,203,125,47,109,78,78,110,16,94,157,31,31,31,47,94,0,62,78,16,1
141,250,94,78,78,88,109,407,78,78,531,234,93,94,140,78,47,109,78,391,109,78,109,1
109,93,109,62,78,78,172,78,109,78,78,281,93,94,172,213,94,110,78,516,78,94,125,1
110,110,407,78,78,250,157,78,78,213,250,234,93,94,140,78,47,109,93,235,78,78,109,1
156,62,140,78,110,110,15,110,94,78,578,63,79,63,47,63,31,63,48,5,84,46,109,1
15,79,93,15,31,94,31,48,46,93,140,31,63,16,78,31,109,31,16,94,0,16,109,1
63,328,110,78,110,31,47,79,93,31,62,63,79,63,47,63,31,63,16,110,15,46,109,1
93,47,110,94,79,140,94,46,110,78,78,31,79,125,62,110,15,94,31,78,16,94,16,2
94,62,62,78,78,124,125,31,94,94,94,63,93,79,93,78,78,0,62,32,93,93,32,2
79,156,46,94,79,125,62,94,78,78,94,31,79,125,62,110,15,94,62,32,78,94,16,2
156,109,109,187,157,94,125,93,218,111,110,94,63,94,203,47,157,171,110,93,161,141,15,1
